Database,Keyword,Seed keyword,Page,Topic,Page type,Tags,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend,Click potential,Content references,Competitors
us,learn spanish while driving,learn spanish,,,,,590,12,5.48,0.87,225000000,"Informational, Commercial","Video, Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links","0.67,0.67,0.54,0.54,0.44,0.54,0.54,0.54,0.54,0.67,0.67,0.54",20,,
us,best shows to learn spanish,learn spanish,,,,,480,19,4.34,0.23,108,Commercial,"Discussions And Forums, AI Overview, Site Links, Video, People Also Ask","0.81,0.54,0.54,0.81,0.54,1.00,0.66,0.44,0.44,0.81,0.81,0.44",20,,
us,learning spanish free resources,learn spanish,,,,,590,15,0.00,0.00,124,Informational,"Site Links, Video, Video Carousel, Related Searches, Discussions And Forums, AI Overview","1.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
us,best books for learning spanish,learn spanish,,,,,390,14,2.00,0.91,126,Commercial,"AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.21,0.48,0.26,0.14,0.48,0.88,0.39,0.59,0.59,0.39,0.21,0.39",20,,
us,books to learn spanish,learn spanish,,,,,390,14,1.43,1.00,397000000,"Informational, Commercial","Related Searches, Short Videos, Discussions And Forums, AI Overview, Site Links, Video, People Also Ask","0.20,0.25,0.16,0.20,0.20,0.20,0.20,0.13,0.16,0.20,0.20,0.16",20,,
us,best way to learn spanish fast,learn spanish,,,,,390,25,5.04,0.76,160,Commercial,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.66,0.66,0.81,0.81,0.54,0.66,0.44,0.35,0.44,0.66,0.66,0.44",20,,
us,learn spanish books,learn spanish,,,,,390,9,1.36,0.96,655000000,"Informational, Commercial","Image, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.30,0.20,0.55,0.08,0.13,0.30,0.55,0.30,0.36,0.76,0.55,0.13",20,,
us,best podcasts for learning spanish,learn spanish,,,,,320,26,0.00,0.00,125,Commercial,"AI Overview, Site Links, Video, Related Searches, Discussions And Forums","0.26,0.26,0.32,0.59,0.48,0.72,0.21,0.26,0.14,0.11,0.21,0.26",20,,
us,good shows to learn spanish,learn spanish,,,,,320,19,4.34,0.23,106,Informational,"Short Videos, Discussions And Forums, AI Overview, Site Links, Video, Related Searches","0.44,0.66,0.44,0.35,0.35,0.54,0.23,0.54,0.28,0.81,0.66,0.44",20,,
us,good spanish shows to learn spanish,learn spanish,,,,,320,21,4.34,0.23,901000000,"Informational, Commercial","Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links","0.44,0.44,0.44,0.36,0.29,0.36,0.19,0.36,0.29,0.54,1.00,0.44",20,,
us,how can you learn spanish fast,learn spanish,,,,,320,26,2.23,0.64,162,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.05,0.79,0.07,0.02,0.04,0.04,0.03,0.04,0.07,0.07,0.05,0.07",20,,
us,how i learned to speak spanish,learn spanish,,,,,320,7,1.93,0.70,532000000,Informational,"Video Carousel, People Also Ask, Related Searches, Discussions And Forums, Site Links, Video","0.23,1.00,0.81,0.23,0.23,1.00,0.81,0.81,0.81,0.81,0.81,0.81",20,,
us,how many hours to learn spanish,learn spanish,,,,,320,12,3.07,0.07,910000000,Informational,"Site Links, Video, Related Searches, Short Videos, AI Overview","0.66,0.54,0.44,0.66,0.35,0.54,0.44,0.44,0.54,0.54,0.44,0.35",20,,
us,spanish shows to learn spanish,learn spanish,,,,,320,12,3.67,0.30,1110000000,"Informational, Commercial","Site Links, Video, Related Searches, Discussions And Forums, AI Overview","0.54,0.54,0.44,0.54,0.54,0.54,0.54,0.54,0.54,0.66,0.66,0.35",20,,
us,spanish learning app,learn spanish,,,,,320,26,3.25,0.09,504000000,"Informational, Commercial","Discussions And Forums, AI Overview, Site Links, Video, People Also Ask, Related Searches","0.10,0.24,0.13,0.13,0.10,0.13,0.20,0.05,0.20,0.16,0.13,0.10",20,,
us,learning spanish podcast,learn spanish,,,,,390,25,2.72,0.42,8110000,"Informational, Commercial","AI Overview, Site Links, Video, Video Carousel, Related Searches","0.30,0.20,0.45,0.20,0.16,0.36,0.16,0.13,0.20,0.81,0.55,0.45",20,,
us,how fast can you learn spanish,learn spanish,,,,,390,18,4.41,0.29,1010000000,Informational,"AI Overview, Site Links, Video, Video Carousel, Related Searches","0.66,0.81,0.44,0.81,0.66,0.66,1.00,0.81,0.54,0.54,0.81,0.54",20,,
us,how long can it take to learn spanish,learn spanish,,,,,390,20,3.64,0.10,1530000000,Informational,"Video, People Also Ask, Related Searches, Short Videos, AI Overview, Site Links","0.02,0.05,0.29,0.01,0.02,0.03,0.04,0.36,0.02,0.03,0.03,0.04",20,,
us,benefits of learning spanish,learn spanish,,,,,390,8,0.79,0.03,335000000,Informational,"Site Links, Video, Related Searches, AI Overview","0.39,0.26,0.17,0.39,0.72,1.00,0.32,0.39,0.26,0.48,0.39,0.26",20,,
us,learning spanish books,learn spanish,,,,,480,13,1.36,0.96,862000000,Commercial,"Site Links, Video, Video Carousel, Popular Products, Related Searches, Discussions And Forums","0.20,0.24,0.30,0.30,0.24,0.76,0.76,0.30,0.45,0.36,0.67,0.24",20,,
us,good spanish learning apps,learn spanish,,,,,480,29,4.33,0.77,255000000,Informational,"Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.00,1.00,0.16,0.00,0.05,0.07,0.07,0.00,0.13,0.03,0.01,0.00",20,,
us,best way to learn spanish as an adult,learn spanish,,,,,480,16,4.63,0.78,152,Commercial,"Short Videos, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.10,0.08,0.08,0.13,0.13,0.16,0.16,0.16,0.20,0.36,1.00,0.52",20,,
us,best tv shows to learn spanish,learn spanish,,,,,480,16,4.34,0.23,127,Commercial,"Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches, Short Videos","0.66,0.66,0.54,0.81,0.54,0.44,0.66,0.54,0.44,0.66,0.66,0.36",20,,
us,best shows for learning spanish,learn spanish,,,,,480,21,4.34,0.23,109,Commercial,"Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links","0.66,0.66,0.66,0.66,0.54,0.81,0.54,0.44,0.44,0.81,0.66,0.54",20,,
us,best books to learn spanish,learn spanish,,,,,480,18,2.00,0.91,561000000,Commercial,"Short Videos, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.36,0.45,0.36,0.24,0.06,0.20,0.24,0.13,0.62,0.24,0.24,0.10",20,,
us,spanish learning game,learn spanish,,,,,590,30,1.53,0.38,188,Commercial,"Site Links, Video, Image, Adwords Bottom, Related Searches","0.09,0.21,0.88,0.59,1.00,0.88,0.72,0.48,0.59,0.14,0.11,0.39",20,,
us,best free apps to learn spanish,learn spanish,,,,,590,30,1.92,0.58,467000000,Commercial,"Site Links, Video, Video Carousel, Related Searches, AI Overview","0.25,0.25,0.20,0.25,0.52,1.00,0.37,0.25,0.31,0.31,0.46,0.46",20,,
us,best book to learn spanish,learn spanish,,,,,590,19,2.00,0.91,833000000,Commercial,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.72,0.32,0.72,0.48,0.39,0.59,0.39,0.26,0.39,0.59,1.00,0.48",20,,
us,spanish podcasts for learning,learn spanish,,,,,720,27,2.72,0.42,228000000,"Informational, Commercial","Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.55,0.62,0.55,0.16,0.81,0.24,0.20,0.24,0.62,0.13,0.30,1.00",20,,
us,learn spanish book,learn spanish,,,,,720,21,1.36,0.96,159,Commercial,"Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Video, Image","0.52,0.52,0.37,0.25,0.37,0.31,0.46,0.31,0.25,0.46,0.84,0.68",20,,
us,how hard is it to learn spanish,learn spanish,,,,,720,12,2.84,0.13,1440000000,Informational,"AI Overview, Site Links, Video, Video Carousel, Related Searches","0.45,0.45,0.36,0.36,0.36,0.55,0.45,0.45,0.36,0.45,0.45,0.45",20,,
us,best spanish learning apps,learn spanish,,,,,720,20,4.33,0.77,231000000,Commercial,"Site Links, Adwords Bottom, Related Searches, Short Videos, Discussions And Forums, Video, Adwords Top, Video Carousel, AI Overview","0.10,0.08,0.16,0.13,0.54,1.00,0.54,0.30,0.24,0.30,0.30,0.24",20,,
us,spanish learning books,learn spanish,,,,,880,19,1.36,0.96,185,Commercial,"Site Links, Video, Image, Video Carousel, Popular Products, Related Searches, Short Videos","0.37,0.37,0.46,0.52,0.20,0.46,0.37,0.46,0.84,0.52,0.25,0.25",20,,
us,spanish language learning books,learn spanish,,,,,880,13,1.36,0.96,389000000,Commercial,"AI Overview, Site Links, Video, Image, Video Carousel, Popular Products, Related Searches, Discussions And Forums","0.11,0.20,0.20,0.13,0.84,0.84,1.00,0.68,0.84,0.31,0.52,0.37",20,,
us,is spanish easy to learn,learn spanish,,,,,880,20,2.05,0.03,148,Informational,"Discussions And Forums, AI Overview, Site Links, Video, Related Searches","0.67,0.76,0.36,0.45,0.67,0.76,0.76,0.67,0.55,0.67,0.76,0.67",20,,
us,good spanish books to learn spanish,learn spanish,,,,,880,15,2.00,0.91,707000000,Commercial,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.00,0.55,0.62,0.01,0.45,0.81,0.62,0.62,0.81,0.62,1.00,0.81",20,,
us,good free spanish learning apps,learn spanish,,,,,880,25,2.18,0.62,227000000,"Informational, Commercial","People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.84,0.68,0.84,0.05,0.25,0.68,0.68,0.84,0.68,0.68,0.02,1.00",20,,
us,apps for spanish learning,learn spanish,,,,,880,27,3.25,0.09,268000000,"Informational, Commercial","Site Links, Video, Video Carousel, Related Searches, Discussions And Forums, AI Overview","0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
us,learn spanish fast babbel,learn spanish,,,,,1000,26,0.00,0.86,558000,Navigational,"Discussions And Forums, Site Links, Video, Video Carousel, Related Searches","0.00,0.44,0.44,0.44,0.65,1.00,0.08,0.03,0.00,0.00,0.00,0.00",20,,
us,is the spanish language hard to learn,learn spanish,,,,,1000,25,2.13,0.03,593000000,Informational,"Related Searches, AI Overview, Site Links, Video","1.00,0.81,0.62,0.06,0.45,0.81,0.81,0.62,0.62,0.81,1.00,0.81",20,,
us,im learning in spanish,learn spanish,,,,,1000,25,0.00,0.00,107,Informational,"Instant Answer, Site Links, Video, Video Carousel, People Also Ask, Related Searches, Short Videos","0.30,0.55,0.55,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,1.00",20,,
us,how long will it take to learn spanish,learn spanish,,,,,1000,19,3.64,0.10,158,Informational,"People Also Ask, Related Searches, Site Links, Video, Featured Snippet","0.29,0.08,0.08,0.05,0.44,0.07,0.16,0.18,0.07,0.10,0.53,0.10",20,,
us,spanish learning resources,learn spanish,,,,,1300,27,2.65,0.05,188,"Informational, Commercial","Site Links, Video, People Also Ask, Related Searches, Discussions And Forums, AI Overview","0.20,0.36,0.27,0.52,0.80,0.36,0.44,0.03,0.01,0.07,0.20,0.36",20,,
us,i am learning in spanish,learn spanish,,,,,1300,30,4.26,0.01,195,Informational,"AI Overview, Instant Answer, Site Links, Video, Related Searches, Short Videos","0.76,1.00,0.67,0.76,1.00,1.00,0.76,0.76,0.76,1.00,0.76,1.00",20,,
us,i am learning spanish in spanish,learn spanish,,,,,1600,30,4.26,0.01,171,Informational,"Site Links, Video, Related Searches, Short Videos, AI Overview, Instant Answer","0.66,0.79,0.54,0.54,0.66,1.00,0.66,0.79,0.66,0.66,0.79,0.79",20,,
us,can you learn spanish in a coma,learn spanish,,,,,2900,26,0.00,0.00,147,Informational,"Video, People Also Ask, Related Searches, AI Overview, Site Links","1.00,0.00,0.00,0.00",20,,
us,how fast can i learn spanish,learn spanish,,,,,390,21,4.41,0.29,189,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.66,0.81,0.54,0.66,0.66,0.66,0.81,0.66,0.81,0.66,0.81,0.66",20,,
us,how hard it is to learn spanish,learn spanish,,,,,390,16,2.84,0.13,987000000,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview","0.66,0.81,0.66,0.19,0.19,0.66,0.81,0.66,0.66,0.81,1.00,1.00",20,,
us,how to learn spanish quick,learn spanish,,,,,390,24,2.23,0.64,794000000,Informational,"Video, Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links","0.24,0.30,0.13,0.16,1.00,0.24,0.36,0.30,0.10,0.30,1.00,0.20",20,,
us,how to learn time in spanish,learn spanish,,,,,390,17,0.17,0.01,1490000000,Informational,"AI Overview, Video, Video Carousel, People Also Ask, Related Searches","0.04,0.00,0.44,0.02,0.04,0.00,0.08,0.00,0.00,0.03,0.00,0.00",90,,
us,is spanish language easy to learn,learn spanish,,,,,390,22,2.05,0.03,570000000,Informational,"AI Overview, Site Links, Video, People Also Ask, Related Searches","0.66,0.81,0.54,0.19,0.23,0.66,0.81,0.66,0.66,0.81,1.00,1.00",20,,
us,how do i learn spanish quickly,learn spanish,,,,,320,21,2.70,0.51,156,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.02,0.02,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.03,0.03,0.03",20,,
us,how do you say to learn in spanish,learn spanish,,,,,320,26,1.51,0.00,1040000000,Informational,"Video, Video Carousel, Related Searches, Short Videos, Discussions And Forums, Instant Answer, Site Links","0.19,0.00,0.19,0.81,0.15,0.19,0.19,0.23,0.15,0.19,0.23,0.19",20,,
us,how to say i am learning spanish in spanish,learn spanish,,,,,320,28,0.00,0.00,367000000,Informational,"Instant Answer, Site Links, Video, Related Searches, AI Overview","0.18,0.66,0.23,0.81,0.66,0.81,0.81,0.66,0.54,0.66,1.00,0.81",20,,
us,how to say learn spanish in spanish,learn spanish,,,,,320,25,1.51,0.00,985000000,Informational,"Instant Answer, Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.21,1.00,0.21,0.32,0.72,0.14,0.17,0.26,0.11,0.17,0.17,0.26",20,,
us,is it difficult to learn spanish,learn spanish,,,,,320,22,2.13,0.03,403000000,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Site Links, Video","1.00,0.16,0.13,0.04,0.45,0.08,0.05,0.08,0.06,0.08,0.04,0.10",20,,
us,is it hard to learn spanish,learn spanish,,,,,320,19,2.53,0.10,1080000000,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview","0.44,0.44,0.36,0.54,0.44,0.44,0.44,0.36,0.36,0.36,0.54,0.44",20,,
us,is learning spanish hard,learn spanish,,,,,320,26,2.53,0.10,913000000,Informational,"AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.44,0.44,0.35,0.44,0.66,0.54,0.81,0.66,0.54,0.66,0.81,0.66",20,,
us,how do you say i am learning in spanish,learn spanish,,,,,260,28,0.00,0.00,126,Informational,"People Also Ask, Related Searches, Short Videos, AI Overview, Instant Answer, Site Links, Video, Video Carousel","0.53,0.53,0.66,1.00,0.35,1.00,1.00,0.82,0.66,0.82,0.82,1.00",20,,
us,how hard is to learn spanish,learn spanish,,,,,260,12,2.84,0.13,952000000,Informational,"AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.19,1.00,0.23,0.19,0.29,0.81,0.44,0.12,0.36,0.29,0.19,0.44",20,,
us,how long does it take to learn a spanish,learn spanish,,,,,260,20,3.64,0.10,200,Informational,"Related Searches, AI Overview, Site Links, Video, People Also Ask","0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
us,how long does it take to learn spanish fluently,learn spanish,,,,,260,10,3.43,0.08,64900000,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.53,0.66,0.53,0.66,0.53,0.66,0.82,0.66,0.66,0.66,1.00,0.66",20,,
us,how long does it take to learn spanish with duolingo,learn spanish,,,,,260,14,4.20,0.02,11200000,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.12,0.12,0.44,0.54,0.15,0.29,0.19,0.09,0.29,0.44,0.36,0.23",20,,
us,how quickly can i learn spanish,learn spanish,,,,,260,23,4.41,0.29,193,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.54,0.54,0.43,0.43,0.54,0.54,0.66,0.66,0.54,0.43,0.54,0.43",20,,
us,what are the best apps for learning spanish,learn spanish,,,,,260,19,3.37,0.74,523000000,Commercial,"Site Links, Video, Adwords Bottom, Related Searches, AI Overview","0.19,0.81,0.29,0.15,0.19,0.66,1.00,0.09,0.15,0.01,0.12,0.01",20,,
us,what are the best apps to learn spanish,learn spanish,,,,,260,22,3.37,0.74,121,Commercial,"People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.54,0.36,0.29,1.00,0.29,0.23,0.44,0.44,0.44,0.00,0.12,0.00",20,,
us,what is a good app to learn spanish,learn spanish,,,,,260,28,3.37,0.74,135,"Informational, Commercial","People Also Ask, Related Searches, Short Videos, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.23,0.36,0.29,1.00,0.29,0.23,0.44,0.44,0.44,1.00,0.81,0.66",20,,
us,what is learning in spanish,learn spanish,,,,,260,28,2.31,0.01,1530000000,Informational,"Related Searches, Instant Answer, Site Links, Video, People Also Ask","0.44,0.35,0.18,0.23,0.66,0.08,1.00,0.81,0.23,1.00,1.00,1.00",20,,
us,why learn spanish,learn spanish,,,,,260,14,0.94,0.03,1570000000,Informational,"Site Links, Video, People Also Ask, Related Searches, AI Overview","0.08,0.08,0.08,0.10,0.55,0.36,0.16,0.13,0.06,0.13,0.06,0.08",20,,
us,how fast to learn spanish,learn spanish,,,,,210,21,4.41,0.29,912000000,Informational,"Site Links, Video, People Also Ask, Related Searches, Short Videos, AI Overview","0.43,0.81,0.35,0.29,0.22,0.54,1.00,0.18,0.10,0.66,0.81,0.81",20,,
us,how hard is learning spanish,learn spanish,,,,,210,16,0.00,0.00,342000000,Informational,"AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.20,0.20,0.30,0.06,0.10,0.16,0.45,0.03,0.00,0.45,0.55,0.55",20,,
us,how hard is spanish to learn,learn spanish,,,,,210,10,3.64,0.03,952000000,Informational,"Video Carousel, Related Searches, AI Overview, Site Links, Video","0.80,0.80,0.53,0.65,0.80,0.65,0.80,0.65,0.80,0.80,0.53,0.80",20,,
us,how to learn spanish as an adult,learn spanish,,,,,210,7,3.38,0.73,144,"Informational, Commercial","People Also Ask, Related Searches, Discussions And Forums, AI Overview, Site Links, Video, Video Carousel","0.17,0.26,0.21,0.17,0.21,0.26,0.32,0.26,0.26,0.59,1.00,0.59",20,,
us,how to learn spanish fluently,learn spanish,,,,,210,25,2.38,0.67,61700000,Informational,"Related Searches, AI Overview, Site Links, Video, Video Carousel, People Also Ask","0.19,0.19,0.23,0.23,0.12,0.19,0.15,0.10,0.15,0.19,0.36,0.12",20,,
us,how to say learning in spanish,learn spanish,,,,,210,28,1.51,0.00,572000000,Informational,"People Also Ask, Related Searches, Short Videos, Discussions And Forums, Instant Answer, Site Links, Video, Video Carousel","0.44,0.54,0.01,0.54,0.11,0.35,0.15,0.66,0.28,0.35,0.35,0.66",20,,
us,how to start learning spanish,learn spanish,,,,,210,20,1.94,0.46,668000000,Informational,"Site Links, Video, Video Carousel, Related Searches, AI Overview","0.03,0.03,0.03,0.04,0.07,0.03,0.03,0.03,0.03,0.05,0.13,1.00",20,,
us,is spanish a hard language to learn,learn spanish,,,,,210,15,3.91,0.01,625000000,Informational,"AI Overview, Site Links, Video, Related Searches, Discussions And Forums","0.43,0.43,0.53,0.43,0.66,0.66,0.82,0.82,0.53,0.66,0.82,1.00",20,,
us,is spanish hard to learn for english speakers,learn spanish,,,,,210,15,3.15,0.01,913000000,Informational,"Video, People Also Ask, Related Searches, AI Overview, Site Links","0.53,0.65,0.53,0.53,0.65,0.65,0.65,0.81,0.65,1.00,0.81,0.81",20,,
us,what's the best app to learn spanish,learn spanish,,,,,210,22,3.71,0.75,1070000000,Commercial,"AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches, Short Videos","0.53,0.53,0.65,0.81,0.65,0.81,0.81,0.53,0.81,0.81,1.00,0.81",20,,
us,why is it important to learn spanish,learn spanish,,,,,210,12,0.00,0.01,1000000000,Informational,"Video, Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links","0.08,0.08,0.03,0.03,0.36,0.36,0.13,0.05,0.05,0.16,0.06,0.08",20,,
us,can you learn spanish in your sleep,learn spanish,,,,,170,12,3.28,0.16,504000000,Informational,"Video Carousel, Related Searches, Discussions And Forums, AI Overview, Site Links, Video","0.53,0.65,0.43,0.43,0.65,0.81,0.53,0.53,1.00,0.53,0.53,0.53",20,,
us,how do you say i am learning spanish,learn spanish,,,,,170,24,0.00,0.00,124,Informational,"Short Videos, AI Overview, Instant Answer, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.22,0.43,0.35,0.35,0.43,0.29,1.00,0.22,0.18,0.14,0.22,0.35",20,,
us,how do you say i am learning spanish in spanish,learn spanish,,,,,170,27,0.00,0.00,619000000,Informational,"Instant Answer, Site Links, Video, Related Searches","0.53,0.53,0.53,0.80,0.53,1.00,0.65,0.80,0.53,0.65,0.53,1.00",20,,
us,how do you say learning in spanish,learn spanish,,,,,170,25,1.51,0.00,190,Informational,"Video Carousel, Related Searches, Discussions And Forums, Instant Answer, Site Links, Video","0.35,0.35,0.35,0.29,0.43,0.43,0.35,0.43,0.18,0.29,0.35,0.35",20,,
us,how long does it take to fluently learn spanish,learn spanish,,,,,170,24,3.43,0.08,10600000,Informational,"Site Links, Video, People Also Ask, Related Searches, Short Videos, AI Overview","0.28,0.53,0.53,1.00,0.34,0.43,0.65,0.81,0.53,0.81,1.00,0.81",20,,
us,how long does it take to learn spanish on duolingo,learn spanish,,,,,170,22,4.20,0.02,11300000,Informational,"People Also Ask, Related Searches, AI Overview, Site Links, Video","0.35,0.23,0.66,0.35,0.28,0.23,0.82,0.28,0.28,0.28,0.23,0.28",20,,
us,how many hours does it take to learn spanish,learn spanish,,,,,170,9,4.49,0.04,523000000,Informational,"Related Searches, AI Overview, Site Links, Video","0.35,0.35,0.35,0.29,0.29,0.29,0.29,0.22,0.22,0.22,0.22,0.29",20,,
us,how to say i am learning in spanish,learn spanish,,,,,170,27,0.00,0.00,127,Informational,"Site Links, Video, People Also Ask, Related Searches, Short Videos, Instant Answer","0.53,0.53,0.43,0.43,0.28,0.35,0.43,0.35,0.28,0.28,0.43,0.82",20,,
us,how to say i am learning spanish,learn spanish,,,,,170,28,0.00,0.00,126,Informational,"Instant Answer, Site Links, Video, People Also Ask, Short Videos, AI Overview","0.34,0.21,0.53,0.28,0.34,1.00,0.53,0.34,0.34,0.34,0.43,0.53",20,,
us,is english or spanish harder to learn,learn spanish,,,,,170,23,0.00,0.00,142,Informational,"Short Videos, AI Overview, Site Links, Video, People Also Ask, Related Searches","0.66,0.80,0.33,0.42,1.00,0.80,1.00,1.00,0.80,0.80,1.00,1.00",20,,
us,is french or spanish easier to learn,learn spanish,,,,,170,19,0.00,0.00,1030000000,Informational,"Site Links, Video, Related Searches, AI Overview","0.29,0.29,0.29,0.22,0.54,0.43,0.54,0.54,0.54,1.00,0.81,1.00",20,,
us,how can i learn spanish fluently,learn spanish,,,,,140,19,2.38,0.67,62300000,Informational,"Site Links, Video, Video Carousel, People Also Ask, Related Searches, AI Overview","0.22,0.22,0.22,0.22,0.35,0.54,0.43,0.29,0.35,0.18,0.10,0.22",20,,
us,how did ben affleck learn spanish,learn spanish,,,,,140,23,0.00,0.00,1250000,Informational,"People Also Ask, Related Searches, Short Videos, AI Overview, Video, Image","0.32,0.32,0.17,0.21,0.09,0.11,0.21,0.07,0.07,0.59,0.21,0.09",90,,
us,how do you say learn spanish in spanish,learn spanish,,,,,140,27,1.51,0.00,916000000,Informational,"Video Carousel, People Also Ask, Related Searches, AI Overview, Instant Answer, Site Links, Video","0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",20,,
us,how easy is it to learn spanish,learn spanish,,,,,140,29,2.49,0.18,187,Informational,"AI Overview, Site Links, Video, Video Carousel, People Also Ask, Related Searches","0.23,0.18,0.18,0.18,0.23,0.18,0.18,0.18,0.18,0.28,0.23,0.23",20,,
